sida,42,VIH,6,maladie,then,sida,6,maladie
=acute pancreatitis=,42,SIDA,6,maladie,then,=acute pancreatitis=,6,maladie
quatre,42,arithmétique,6,Mathématiques,then,quatre,42,Mathématiques
Géométrie,42,Mathématiques,6,Physique,then,Géométrie,42,Physique
sida,42,vih,6,maladie,then,sida,6,maladie
mort,42,SIDA,6,maladie,then,mort,42,maladie
=acute pancreatitis=,42,SIDA,6,maladie,then,=acute pancreatitis=,6,maladie
=libido=,42,physiologie,6,biologie,then,=libido=,42,biologie
pancréatite aiguë,42,SIDA,6,maladie,then,pancréatite aiguë,6,maladie
maladie,42,Bacille de Koch,6,bacille,then,maladie,42,bacille
mois,42,lune,6,lune,then,mois,42,lune
sida,42,VIH,6,maladie,then,sida,6,maladie
sida,42,VIH,6,maladie,then,sida,6,maladie
viande reconstituée,42,économie,6,économie,then,viande reconstituée,42,économie
mourir,42,syndrome d'immunodéficience acquise,6,maladie,then,mourir,42,maladie
film,42,Louis Lumière,6,scientifique,then,film,17,scientifique
IA,42,=endocarditis=,6,maladie,then,IA,6,maladie
télévision,42,tube de Zworykin,6,instrument,then,télévision,6,instrument
syndrome d'immunodéficience acquise,42,vih,6,maladie,then,syndrome d'immunodéficience acquise,6,maladie
ville dortoir,42,économie,6,économie,then,ville dortoir,42,économie
biologie,42,étude,6,recherche,then,biologie,42,recherche
géométrie,42,Mathématiques,6,Physique,then,géométrie,42,Physique
syndrome d'immunodéficience acquise,42,vih,6,maladie,then,syndrome d'immunodéficience acquise,6,maladie
débat d'idées,42,Economie,6,économie,then,débat d'idées,42,économie
quatre,42,arithmétique,6,Mathématiques,then,quatre,42,Mathématiques
IA,42,Maladie de Bouillaud,6,maladie,then,IA,6,maladie
mourir,42,syndrome d'immunodéficience acquise,6,maladie,then,mourir,42,maladie
SIDA,42,VIH,6,maladie,then,SIDA,6,maladie
cité dortoir,42,économie,6,économie,then,cité dortoir,42,économie
sida,42,vih,6,maladie,then,sida,6,maladie
IA,42,Maladie de Bouillaud,6,maladie,then,IA,6,maladie
SIDA,42,vih,6,maladie,then,SIDA,6,maladie
sida,42,VIH,6,maladie,then,sida,6,maladie
=acute pancreatitis=,42,SIDA,6,maladie,then,=acute pancreatitis=,6,maladie
syndrome d'immunodéficience acquise,42,VIH,6,maladie,then,syndrome d'immunodéficience acquise,6,maladie
addict,42,biochimie,6,chimie,then,addict,42,chimie
tube cathodique,42,tube de Zworykin,6,tube,then,tube cathodique,6,tube
cours,42,économie,6,économie,then,cours,42,économie
débat d'idées,42,Economie,6,économie,then,débat d'idées,42,économie
banlieue-dortoir,42,économie,6,économie,then,banlieue-dortoir,42,économie
progrès scientifique,42,recherche,6,technique,then,progrès scientifique,17,technique
=addict=,42,biochimie,6,chimie,then,=addict=,42,chimie
théorie du genre,42,génétique,6,biologie,then,théorie du genre,42,biologie
SIDA,42,vih,6,maladie,then,SIDA,6,maladie
maladie,42,bacille,6,=microorganism=,then,maladie,42,=microorganism=
syndrome d'immunodéficience acquise,42,VIH,6,maladie,then,syndrome d'immunodéficience acquise,6,maladie
sida,42,VIH,6,maladie,then,sida,6,maladie
quatres,42,arithmétique,6,Mathématiques,then,quatres,42,Mathématiques
SIDA,42,VIH,6,maladie,then,SIDA,6,maladie
maladie,42,bacille de Koch,6,bacille,then,maladie,42,bacille
mort,42,syndrome d'immunodéficience acquise,6,maladie,then,mort,42,maladie
addict,42,biochimie,6,chimie,then,addict,42,chimie
sida,42,vih,6,maladie,then,sida,6,maladie
SIDA,42,virus de l'immunodéficience humaine,6,maladie,then,SIDA,6,maladie
sida,42,virus de l'immunodéficience humaine,6,maladie,then,sida,6,maladie
maladie,42,bacille,6,organisme unicellulaire,then,maladie,42,organisme unicellulaire
mort,42,SIDA,6,maladie,then,mort,42,maladie
pancréatite aigüe,42,SIDA,6,maladie,then,pancréatite aigüe,6,maladie
IA,42,Maladie de Bouillaud,6,maladie,then,IA,6,maladie
géométrie,42,mathématiques,6,Physique,then,géométrie,42,Physique
quatre,42,arithmétique,6,Mathématiques,then,quatre,42,Mathématiques
sida,42,virus de l'immunodéficience humaine,6,maladie,then,sida,6,maladie
mourir,42,sida,6,maladie,then,mourir,42,maladie
cours,42,économie,6,économie,then,cours,42,économie
pancréatite aigüe,42,SIDA,6,maladie,then,pancréatite aigüe,6,maladie
pancréatite aigüe,42,SIDA,6,maladie,then,pancréatite aigüe,6,maladie
viande reconstituée,42,économie,6,économie,then,viande reconstituée,42,économie
médecine,42,science,6,biologie,then,médecine,6,biologie
sida,42,virus de l'immunodéficience humaine,6,maladie,then,sida,6,maladie
mourir,42,SIDA,6,maladie,then,mourir,42,maladie
sida,42,virus de l'immunodéficience humaine,6,maladie,then,sida,6,maladie
pancréatite aiguë,42,SIDA,6,maladie,then,pancréatite aiguë,6,maladie
maladie,42,bacille,6,micro-organisme,then,maladie,42,micro-organisme
progrès scientifique,42,recherche privée,6,recherche,then,progrès scientifique,42,recherche
sida,42,VIH,6,maladie,then,sida,6,maladie
